4944,50546
4944,1586
4944,332872
4944,11588
4944,455565
14160,9479
14160,3933
14160,326359
14160,32085
14160,145316
195589,325133
195589,179144
195589,376659
195589,8363
195589,17899
254470,354912
254470,786
254470,525
254470,5123
387592,86130
387592,17610
116745,580
116745,578
116745,438970
116745,403119
116745,1907
383498,209112
383498,272
383498,10138
383498,263115
383498,49521
418827,53932
418827,10068
418827,345
418827,796
418827,405817
150540,812
150540,12092
150540,260513
150540,11360
150540,2300
325133,17899
325133,179144
325133,12620
325133,19053
2062,6283
2062,10009
2062,295964
2062,308531
2062,10137
11283,674
11283,425
11283,120
11283,675
11283,382591
153518,338970
153518,810
153518,5689
153518,9488
153518,9986
200727,51828
200727,449176
200727,281957
200727,11121
200727,417678
346648,278927
346648,411
346648,2454
346648,2268
346648,281957
313369,525
313369,705
313369,10545
166426,1865
166426,22
166426,58
166426,285
166426,71805
88751,351286
88751,11571
88751,12155
88751,425
88751,667
291870,712
291870,24
291870,50124
291870,6557
291870,10330
55301,400155
55301,23398
55301,6477
55301,258509
55301,10488
112160,117486
112160,449176
112160,14
112160,80271
112160,9880
391713,11421
391713,398818
391713,9813
391713,84892
391713,376867
35,13
35,122906
35,398818
35,5915
35,82703
455207,9880
455207,8966
455207,222935
455207,281957
455207,466282
59436,8966
59436,333339
59436,350
59436,2268
59436,9880
23048,243938
23048,383498
23048,41154
23048,206487
23048,227719
505906,20943
505906,4951
505906,390043
505906,384677
505906,13969
340022,562
340022,1571
340022,2502
340022,1572
340022,2320
1593,351286
1593,12144
1593,135397
1593,181533
1593,105864
171274,8966
171274,769
171274,9880
171274,222935
171274,466282
13374,449176
13374,18126
13374,14069
13374,9472
335797,9836
335797,9986
335797,9447
354912,4011
354912,745
354912,228326
354912,6477
43074,4011
43074,620
43074,91586
43074,416234
43074,675
26123,2105
26123,272693
26123,449176
26123,10625
26123,57214
950,425
950,435
950,7840
950,387893
462919,64255
462919,621
462919,224141
462919,2976
462919,429417
585,62211
585,13374
585,1124
585,55721
585,339404
23023,11224
23023,10693
23023,16119
23023,10882
23023,1417
10315,269149
10315,281957
10315,387592
10315,101
10315,238636
23631,425
23631,637
23631,1562
23631,745
23631,335
159824,766
159824,671
159824,672
159824,675
9486,954
9486,646
9486,681
9486,660
9486,691
138832,4771
138832,339692
138832,273481
138832,398181
138832,429733
39513,840
39513,602
39513,20424
39513,348
39513,601
39514,254904
39514,954
39514,955
39514,238713
39514,47964
136795,395834
136795,359412
136795,75780
136795,193893
136795,49049
10096,1572
10096,772
10096,26973
10096,3116
10096,258480
225886,87567
225886,49519
225886,290762
225886,11224
225886,38
136799,122
136799,109445
136799,35614
136799,32685
136799,60304
608,607
608,395
608,601
608,840
608,817
11024,75780
11024,10528
11024,293167
11024,268896
11024,290250
270946,10140
270946,10527
270946,953
270946,12
257211,273153
257211,437557
257211,19316
257211,11631
257211,370663
271718,10312
271718,510
271718,195589
271718,4964
271718,8363
194662,98566
194662,272
194662,49026
194662,283995
194662,315635
228967,954
228967,955
228967,254904
228967,47964
228967,137094
25195,712
25195,24
25195,8764
25195,1979
25195,50124
397422,521
397422,862
397422,13
397422,50544
397422,359940
787,249070
787,667
787,682
787,2501
787,101
118,252
118,9880
118,10830
118,34584
118,12155
238713,954
238713,955
238713,691
238713,818
238713,817
218746,52449
218746,400928
218746,118
218746,10830
218746,49519
452731,370663
452731,10818
452731,258480
452731,437557
452731,10735
77338,862
77338,13
77338,68718
77338,50544
77338,290762
445571,275
445571,10742
445571,425591
445571,264644
445571,984
227973,9531
227973,13640
227973,99861
227973,287947
227973,1452
487558,1883
487558,324786
487558,363676
487558,769
487558,640
80321,10527
80321,10258
80321,270946
80321,9836
80321,953
278154,17610
278154,18905
278154,387592
278154,49519
194,95
194,707
194,1278
194,907
194,26973
9870,652
9870,271718
